Element;Categorie;Sous_categorie;Phase;Propriété;IFC_Reference;Revit_Param;Version_IFC;Requis
Cheminée;Informations alphanumériques;Niveau objet;APD;Statut (p);Pset_ChimneyCommon.Status;Phase Created;IFC4;Oui
Cheminée;Informations alphanumériques;Niveau objet;PDE;Statut (p);Pset_ChimneyCommon.Status;Phase Created;IFC4;Oui
Cheminée;Informations alphanumériques;Niveau objet;EXE;Statut (p);Pset_ChimneyCommon.Status;Phase Created;IFC4;Oui
Cheminée;Informations alphanumériques;Niveau objet;EXP;Statut (p);Pset_ChimneyCommon.Status;Phase Created;IFC4;Oui
Cheminée;Informations alphanumériques;Niveau matériau;APD;Materiau (a);IfcMaterial;[not manageable];IFC4;Oui
Cheminée;Informations alphanumériques;Niveau matériau;PDE;Materiau (a);IfcMaterial;[not manageable];IFC4;Oui
Cheminée;Informations alphanumériques;Niveau matériau;EXE;Materiau (a);IfcMaterial;[not manageable];IFC4;Oui
Cheminée;Informations alphanumériques;Niveau matériau;EXP;Materiau (a);IfcMaterial;[not manageable];IFC4;Oui
Cheminée;Documentation;Descriptifs;APD;Principe constructif;;;IFC4;Oui
Cheminée;Documentation;Descriptifs;APD;Prédimensionnement;;;IFC4;Oui
Cheminée;Documentation;Descriptifs;PDE;Dimensionnement;;;IFC4;Oui
Cheminée;Documentation;Descriptifs;EXE;Dimensionnement;;;IFC4;Oui
Cheminée;Documentation;Descriptifs;EXP;Dimensionnement;;;IFC4;Oui
Cheminée;Documentation;Maintenance et fiches techniques;EXE;Fiche technique;;;IFC4;Oui
Cheminée;Documentation;Maintenance et fiches techniques;EXP;Fiche technique;;;IFC4;Oui
Cheminée;Documentation;Plans et schémas;PDE;Détail d'exécution;;;IFC4;Oui
Cheminée;Documentation;Plans et schémas;EXE;Détail d'exécution;;;IFC4;Oui
Cheminée;Documentation;Plans et schémas;EXP;Détail d'exécution;;;IFC4;Oui
Cheminée;Documentation;Plans et schémas;EXE;Déclaration de performance environnementale;;;IFC4;Oui
Cheminée;Classification;Uniformat II 2010;Toutes;"B3020.10 – Roof Accessories
B3060.50 – Vents and Hatches";;;IFC4;Oui
Cheminée;Classification;DIN276;Toutes;"KG 399 – Sonstiges zur KG390 (Sonstige Maßnahmen für Baukonstruktionen)
KG 429 – Sonstiges zur KG420 (Wärmeversorgungsalagen)";;;IFC4;Oui
Clapet et registre;Classe et type IFC;Types IFC;Toutes;Hotte;IfcDamper.FUMEHOODEXHAUST;Duct Accessories [BIMids Classification:Damper and register];IFC4;Oui
Clapet et registre;Classe et type IFC;Types IFC;Toutes;Clapet anti-retour;IfcDamper.BACKDRAFTDAMPER;Duct Accessories [BIMids Classification:Damper and register];IFC4;Oui
Clapet et registre;Classe et type IFC;Types IFC;Toutes;Clapet coupe-feu;IfcDamper.FIREDAMPER;Duct Accessories [BIMids Classification:Damper and register];IFC4;Oui
Clapet et registre;Classe et type IFC;Types IFC;Toutes;Clapet coupe-fumée (cheminée);IfcDamper.SMOKEDAMPER;Duct Accessories [BIMids Classification:Damper and register];IFC4;Oui
Clapet et registre;Classe et type IFC;Types IFC;Toutes;Clapet coupe-fumée (incendie);IfcDamper.FIRESMOKEDAMPER;Duct Accessories [BIMids Classification:Damper and register];IFC4;Oui
Clapet et registre;Classe et type IFC;Types IFC;Toutes;Vanne d'équilibrage;IfcDamper.BALANCINGDAMPER;Duct Accessories [BIMids Classification:Damper and register];IFC4;Oui
Clapet et registre;Classe et type IFC;Types IFC;Toutes;Registre motorisé;IfcDamper.CONTROLDAMPER;Duct Accessories [BIMids Classification:Damper and register];IFC4;Oui
Clapet et registre;Classe et type IFC;Types IFC;Toutes;Clapet anti-déflagration;IfcDamper.BLASTDAMPER;Duct Accessories [BIMids Classification:Damper and register];IFC4;Oui
Clapet et registre;Classe et type IFC;Types IFC;Toutes;Clapet à surpression;IfcDamper.RELIEFDAMPER;Duct Accessories [BIMids Classification:Damper and register];IFC4;Oui
Clapet et registre;Classe et type IFC;Types IFC;Toutes;Clapet à dépression;IfcDamper.RELIEFDAMPER;Duct Accessories [BIMids Classification:Damper and register];IFC4;Oui
Clapet et registre;Informations alphanumériques;Niveau objet;PDE;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Clapet et registre;Informations alphanumériques;Niveau objet;EXE;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Clapet et registre;Informations alphanumériques;Niveau objet;EXP;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Clapet et registre;Informations alphanumériques;Niveau objet;PDE;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Clapet et registre;Informations alphanumériques;Niveau objet;EXE;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Clapet et registre;Informations alphanumériques;Niveau objet;EXP;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Clapet et registre;Informations alphanumériques;Niveau objet;PDE;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Clapet et registre;Informations alphanumériques;Niveau objet;EXE;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Clapet et registre;Informations alphanumériques;Niveau objet;EXP;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Clapet et registre;Informations alphanumériques;Niveau objet;PDE;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Clapet et registre;Informations alphanumériques;Niveau objet;EXE;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Clapet et registre;Informations alphanumériques;Niveau objet;EXP;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Clapet et registre;Informations alphanumériques;Niveau objet;PDE;Statut (p);Pset_DamperTypeCommon.Status;Phase Created;IFC4;Oui
Clapet et registre;Informations alphanumériques;Niveau objet;EXE;Statut (p);Pset_DamperTypeCommon.Status;Phase Created;IFC4;Oui
Clapet et registre;Informations alphanumériques;Niveau objet;EXP;Statut (p);Pset_DamperTypeCommon.Status;Phase Created;IFC4;Oui
Clapet et registre;Documentation;Descriptifs;PDE;Prescriptions;;;IFC4;Oui
Clapet et registre;Documentation;Descriptifs;EXE;Prescriptions;;;IFC4;Oui
Clapet et registre;Documentation;Maintenance et fiches techniques;EXE;Fiche technique;;;IFC4;Oui
Clapet et registre;Documentation;Maintenance et fiches techniques;EXP;Fiche technique;;;IFC4;Oui
Clapet et registre;Documentation;Maintenance et fiches techniques;PDE;Protocole de communication;;;IFC4;Oui
Clapet et registre;Documentation;Maintenance et fiches techniques;EXE;Protocole de communication;;;IFC4;Oui
Clapet et registre;Documentation;Maintenance et fiches techniques;EXP;Protocole de communication;;;IFC4;Oui
Clapet et registre;Documentation;Maintenance et fiches techniques;EXE;Notice de montage;;;IFC4;Oui
Clapet et registre;Documentation;Maintenance et fiches techniques;EXP;Notice de montage;;;IFC4;Oui
Clapet et registre;Documentation;Maintenance et fiches techniques;EXE;Protocole de mesure;;;IFC4;Oui
Clapet et registre;Documentation;Maintenance et fiches techniques;EXP;Protocole de mesure;;;IFC4;Oui
Clapet et registre;Documentation;Maintenance et fiches techniques;EXE;Notice de maintenance;;;IFC4;Oui
Clapet et registre;Documentation;Maintenance et fiches techniques;EXP;Notice de maintenance;;;IFC4;Oui
Clapet et registre;Documentation;Maintenance et fiches techniques;EXE;Carnet d'entretien;;;IFC4;Oui
Clapet et registre;Documentation;Maintenance et fiches techniques;EXP;Carnet d'entretien;;;IFC4;Oui
Clapet et registre;Documentation;Plans et schémas;PDE;Schéma unifilaire;;;IFC4;Oui
Clapet et registre;Documentation;Plans et schémas;EXE;Schéma unifilaire;;;IFC4;Oui
Clapet et registre;Documentation;Plans et schémas;EXP;Schéma unifilaire;;;IFC4;Oui
Clapet et registre;Classification;Uniformat II 2010;Toutes;"D3050.50 – HVAC Air Distribution
D4030.50 – Breathing air Replenishment Systems
C1090.50 – Fireplace and Stoves";;;IFC4;Oui
Clapet et registre;Classification;DIN276;Toutes;"KG431 – Lüftungsanlagen
KG432 – Teilklimaanlagen
KG433 – Klimaanlagen
KG434 – Kälteanlagen
KG475 – Prozesswärme-, kälte- und -luftanlagen";;;IFC4;Oui
Colonne;Classe et type IFC;Types IFC;Toutes;Colonne (isolée);IfcColumn.COLUMN;Structural Columns;IFC4;Oui
Colonne;Classe et type IFC;Types IFC;Toutes;Pilastre (mur);IfcColumn.PILASTER;Structural Columns;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;APD;Statut de rénovation (Archicad) (p);Pset_ColumnCommon.Status;-;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;PDE;Statut de rénovation (Archicad) (p);Pset_ColumnCommon.Status;-;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;EXE;Statut de rénovation (Archicad) (p);Pset_ColumnCommon.Status;-;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;EXP;Statut de rénovation (Archicad) (p);Pset_ColumnCommon.Status;-;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;APS;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;APD;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;PDE;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;EXE;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;EXP;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;APD;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;PDE;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;EXE;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;EXP;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;APD;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;PDE;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;EXE;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;EXP;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;APS;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;APD;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;PDE;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;EXE;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;EXP;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;APS;Statut (p);Pset_ColumnCommon.Status;Phase Created;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;APD;Statut (p);Pset_ColumnCommon.Status;Phase Created;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;PDE;Statut (p);Pset_ColumnCommon.Status;Phase Created;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;EXE;Statut (p);Pset_ColumnCommon.Status;Phase Created;IFC4;Oui
Colonne;Informations alphanumériques;Niveau objet;EXP;Statut (p);Pset_ColumnCommon.Status;Phase Created;IFC4;Oui
Colonne;Informations alphanumériques;Niveau matériau;APD;Materiau (a);IfcMaterial;[not manageable];IFC4;Oui
Colonne;Informations alphanumériques;Niveau matériau;PDE;Materiau (a);IfcMaterial;[not manageable];IFC4;Oui
Colonne;Informations alphanumériques;Niveau matériau;EXE;Materiau (a);IfcMaterial;[not manageable];IFC4;Oui
Colonne;Informations alphanumériques;Niveau matériau;EXP;Materiau (a);IfcMaterial;[not manageable];IFC4;Oui
Colonne;Documentation;Descriptifs;APS;Principe constructif;;;IFC4;Oui
Colonne;Documentation;Descriptifs;APD;Principe constructif;;;IFC4;Oui
Colonne;Documentation;Descriptifs;APD;Prédimensionnement;;;IFC4;Oui
Colonne;Documentation;Maintenance et fiches techniques;EXE;Fiche technique;;;IFC4;Oui
Colonne;Documentation;Maintenance et fiches techniques;EXP;Fiche technique;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;PDE;Plan de coffrage;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;EXE;Plan de coffrage;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;EXP;Plan de coffrage;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;PDE;Plan joints de dilatation;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;EXE;Plan joints de dilatation;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;EXP;Plan joints de dilatation;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;PDE;Détail d'exécution;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;EXE;Détail d'exécution;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;EXP;Détail d'exécution;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;EXE;Plan de ferraillage;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;EXP;Plan de ferraillage;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;PDE;Plan éléments spécifiques;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;EXE;Plan éléments spécifiques;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;EXP;Plan éléments spécifiques;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;APS;Rapport étude géotechnique;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;APD;Rapport étude géotechnique;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;PDE;Rapport étude géotechnique;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;EXE;Rapport étude géotechnique;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;EXP;Rapport étude géotechnique;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;PDE;Rapport stabilité;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;EXE;Rapport stabilité;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;EXP;Rapport stabilité;;;IFC4;Oui
Colonne;Documentation;Plans et schémas;EXE;Déclaration de performance environnementale;;;IFC4;Oui
Colonne;Classification;Uniformat II 2010;Toutes;"B1010.10 – Floor Structural Frame
B1020.10 – Roof Structural Frame
B3080.10 – Exterior Ceiling
F1020.40 – Metal Building Systems";;;IFC4;Oui
Colonne;Classification;DIN276;Toutes;"333 – Aussenstützen
343 – Innenstützen";;;IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;APD;Statut de rénovation (Archicad) (p);Pset_FireSuppressionTerminalTypeCommon.Status;-;IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;PDE;Statut de rénovation (Archicad) (p);Pset_FireSuppressionTerminalTypeCommon.Status;-;IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;EXE;Statut de rénovation (Archicad) (p);Pset_FireSuppressionTerminalTypeCommon.Status;-;IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;EXP;Statut de rénovation (Archicad) (p);Pset_FireSuppressionTerminalTypeCommon.Status;-;IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;APD;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;PDE;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;EXE;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;EXP;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;APD;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;PDE;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;EXE;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;EXP;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;APD;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;PDE;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;EXE;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;EXP;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;APD;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;PDE;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;EXE;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;EXP;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;APD;Statut (p);Pset_FireSuppressionTerminalTypeCommon.Status;Phase Created;IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;PDE;Statut (p);Pset_FireSuppressionTerminalTypeCommon.Status;Phase Created;IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;EXE;Statut (p);Pset_FireSuppressionTerminalTypeCommon.Status;Phase Created;IFC4;Oui
Coupleur incendie;Informations alphanumériques;Niveau objet;EXP;Statut (p);Pset_FireSuppressionTerminalTypeCommon.Status;Phase Created;IFC4;Oui
Coupleur incendie;Documentation;Descriptifs;PDE;Dimensionnement;;;IFC4;Oui
Coupleur incendie;Documentation;Descriptifs;EXE;Dimensionnement;;;IFC4;Oui
Coupleur incendie;Documentation;Descriptifs;EXP;Dimensionnement;;;IFC4;Oui
Coupleur incendie;Documentation;Descriptifs;APD;Prescriptions;;;IFC4;Oui
Coupleur incendie;Documentation;Descriptifs;PDE;Prescriptions;;;IFC4;Oui
Coupleur incendie;Documentation;Descriptifs;EXE;Prescriptions;;;IFC4;Oui
Coupleur incendie;Documentation;Maintenance et fiches techniques;EXE;Fiche technique;;;IFC4;Oui
Coupleur incendie;Documentation;Maintenance et fiches techniques;EXP;Fiche technique;;;IFC4;Oui
Coupleur incendie;Documentation;Maintenance et fiches techniques;EXE;Notice de montage;;;IFC4;Oui
Coupleur incendie;Documentation;Maintenance et fiches techniques;EXP;Notice de montage;;;IFC4;Oui
Coupleur incendie;Documentation;Maintenance et fiches techniques;EXE;Protocole de mesure;;;IFC4;Oui
Coupleur incendie;Documentation;Maintenance et fiches techniques;EXP;Protocole de mesure;;;IFC4;Oui
Coupleur incendie;Documentation;Maintenance et fiches techniques;EXE;Notice de maintenance;;;IFC4;Oui
Coupleur incendie;Documentation;Maintenance et fiches techniques;EXP;Notice de maintenance;;;IFC4;Oui
Coupleur incendie;Documentation;Maintenance et fiches techniques;EXE;Carnet d'entretien;;;IFC4;Oui
Coupleur incendie;Documentation;Maintenance et fiches techniques;EXP;Carnet d'entretien;;;IFC4;Oui
Coupleur incendie;Documentation;Plans et schémas;APD;Schéma d'emprise;;;IFC4;Oui
Coupleur incendie;Documentation;Plans et schémas;PDE;Schéma unifilaire;;;IFC4;Oui
Coupleur incendie;Documentation;Plans et schémas;EXE;Schéma unifilaire;;;IFC4;Oui
Coupleur incendie;Documentation;Plans et schémas;EXP;Schéma unifilaire;;;IFC4;Oui
Coupleur incendie;Classification;Uniformat II 2010;Toutes;D4010 – Fire Suppression;;;IFC4;Oui
Coupleur incendie;Classification;DIN276;Toutes;KG474 – Feuerlöschanlagen;;;IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;APS;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;APD;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;PDE;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;EXE;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;EXP;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;APD;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;PDE;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;EXE;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;EXP;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;APD;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;PDE;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;EXE;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;EXP;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;APS;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;APD;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;PDE;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;EXE;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;EXP;Nom objet (a);IfcRoot.Name;IfcName;IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;APS;Statut (p);Pset_SlabCommon.Status;Phase Created;IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;APD;Statut (p);Pset_SlabCommon.Status;Phase Created;IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;PDE;Statut (p);Pset_SlabCommon.Status;Phase Created;IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;EXE;Statut (p);Pset_SlabCommon.Status;Phase Created;IFC4;Oui
Dalle;Informations alphanumériques;Niveau objet;EXP;Statut (p);Pset_SlabCommon.Status;Phase Created;IFC4;Oui
Dalle;Informations alphanumériques;Niveau matériau;APD;Materiau (a);IfcMaterial;[not manageable];IFC4;Oui
Dalle;Informations alphanumériques;Niveau matériau;PDE;Materiau (a);IfcMaterial;[not manageable];IFC4;Oui
Dalle;Informations alphanumériques;Niveau matériau;EXE;Materiau (a);IfcMaterial;[not manageable];IFC4;Oui
Dalle;Informations alphanumériques;Niveau matériau;EXP;Materiau (a);IfcMaterial;[not manageable];IFC4;Oui
Dalle;Documentation;Descriptifs;APS;Principe constructif;;;IFC4;Oui
Dalle;Documentation;Descriptifs;APD;Principe constructif;;;IFC4;Oui
Dalle;Documentation;Descriptifs;APD;Prédimensionnement;;;IFC4;Oui
Dalle;Documentation;Maintenance et fiches techniques;EXE;Fiche technique;;;IFC4;Oui
Dalle;Documentation;Maintenance et fiches techniques;EXP;Fiche technique;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;PDE;Plan des percements;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;EXE;Plan des percements;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;EXP;Plan des percements;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;PDE;Plan de coffrage;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;EXE;Plan de coffrage;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;EXP;Plan de coffrage;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;PDE;Plan joints de dilatation;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;EXE;Plan joints de dilatation;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;EXP;Plan joints de dilatation;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;PDE;Détail d'exécution;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;EXE;Détail d'exécution;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;EXP;Détail d'exécution;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;EXE;Plan de ferraillage;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;EXP;Plan de ferraillage;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;PDE;Plan éléments spécifiques;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;EXE;Plan éléments spécifiques;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;EXP;Plan éléments spécifiques;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;APD;Performances à atteindre;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;PDE;Performances à atteindre;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;EXE;Performances à atteindre;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;EXP;Performances à atteindre;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;APD;Rapport energétique;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;PDE;Rapport energétique;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;EXE;Rapport energétique;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;EXP;Rapport energétique;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;PDE;Rapport stabilité;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;EXE;Rapport stabilité;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;EXP;Rapport stabilité;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;EXE;Déclaration de performance environnementale;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;APD;Surcharges d’exploitation;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;PDE;Surcharges d’exploitation;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;EXE;Surcharges d’exploitation;;;IFC4;Oui
Dalle;Documentation;Plans et schémas;EXP;Surcharges d’exploitation;;;IFC4;Oui
Dalle;Classification;Uniformat II 2010;Toutes;"B1010.20 – Floor Decks, Slabs, and Toppings
B1010.30 – Balcony Floor Construction
B1010.40 – Mezzanine Floor Construction
C2030 – Flooring
C2050 – Ceiling Finishing";;;IFC4;Oui
Dalle;Classification;DIN276;Toutes;"351 – Deckenkonstruktionen
353 – Deckenbeläge
354 – Deckenbekleidungen
355 – Elementierte Deckenkonstruktionen
363 – Dachbeläge
364 – Dachbegleidungen";;;IFC4;Oui
Dalle sur sol;Informations alphanumériques;Niveau objet;APS;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Dalle sur sol;Informations alphanumériques;Niveau objet;APD;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
